2025-04-24T07:00:01Z INFO    User login succeeded: alice
2025-04-24T07:00:17Z INFO    Viewed page: /home
2025-04-24T07:00:43Z INFO    File downloaded: README.pdf
2025-04-24T07:01:05Z WARN    Failed login attempt: username=bob, error=Invalid password
2025-04-24T07:01:29Z INFO    Service started: auth-service
2025-04-24T07:01:52Z INFO    Database connection established
2025-04-24T07:02:15Z ERROR   SQL error: syntax near "1' OR '1'='1"
2025-04-24T07:02:38Z INFO    User logout: alice
2025-04-24T07:03:02Z INFO    User login succeeded: carol
2025-04-24T07:03:27Z INFO    Viewed page: /dashboard
2025-04-24T07:03:51Z WARN    Suspicious query: /search?q=<script>alert('XSS')</script>
2025-04-24T07:04:12Z INFO    API call: GET /api/status status=200
2025-04-24T07:04:36Z INFO    File uploaded: profile.jpg
2025-04-24T07:05:00Z ERROR   Path traversal attempt: GET ../../etc/passwd HTTP/1.1
2025-04-24T07:05:24Z INFO    Scheduled backup started
2025-04-24T07:05:48Z INFO    User logout: carol
2025-04-24T07:06:12Z WARN    Authentication bypass string detected: " OR 1=1 --
2025-04-24T07:06:35Z INFO    User login succeeded: david
2025-04-24T07:06:59Z INFO    Viewed page: /reports
2025-04-24T07:07:23Z ERROR   Failed API call: POST /api/update-profile status=500
2025-04-24T07:07:47Z INFO    Service stopped: cache-service
2025-04-24T07:08:10Z WARN    Attempted XSS payload: <img src=x onerror=alert('XSS')>
2025-04-24T07:08:34Z INFO    Cache cleared for user: david
2025-04-24T07:08:58Z INFO    File downloaded: report_q2.xlsx
2025-04-24T07:09:22Z WARN    Failed login attempt: username=eve, error=Invalid username
2025-04-24T07:09:45Z INFO    Database connection pool refreshed
2025-04-24T07:10:09Z INFO    User logout: david
2025-04-24T07:10:33Z INFO    User login succeeded: frank
2025-04-24T07:10:57Z INFO    Viewed page: /settings
2025-04-24T07:11:20Z ERROR   SQL error: syntax near "admin' --"
2025-04-24T07:11:44Z WARN    Suspicious file access: /var/www/html/../../secret.txt
2025-04-24T07:12:08Z INFO    API call: GET /api/users status=200
2025-04-24T07:12:31Z INFO    File uploaded: data.csv
2025-04-24T07:12:55Z WARN    Failed login attempt: username=mallory, error=Invalid password
2025-04-24T07:13:19Z ERROR   Path traversal: ../../../../etc/shadow
2025-04-24T07:13:43Z INFO    Service restarted: notification-service
2025-04-24T07:14:06Z INFO    User logout: frank
2025-04-24T07:14:30Z INFO    User login succeeded: grace
2025-04-24T07:14:54Z INFO    Viewed page: /notifications
2025-04-24T07:15:18Z ERROR   Authentication bypass: " OR "" =
2025-04-24T07:15:42Z WARN    Suspicious header: Referer: http://evil.com/<script>
2025-04-24T07:16:05Z INFO    Email sent to grace@example.com
2025-04-24T07:16:29Z INFO    Database backup completed
2025-04-24T07:16:53Z WARN    Failed login attempt: username=oscar, error=Account locked
2025-04-24T07:17:17Z INFO    User logout: grace
2025-04-24T07:17:40Z INFO    User login succeeded: heidi
2025-04-24T07:18:04Z INFO    Viewed page: /invoices
2025-04-24T07:18:28Z ERROR   SQL error: syntax near "\" OR 1=1 --"
2025-04-24T07:18:52Z INFO    File downloaded: invoice_123.pdf
2025-04-24T07:19:15Z WARN    Attempted XSS in cookie: session=<script>
2025-04-24T07:19:39Z INFO    Service started: billing-service
2025-04-24T07:20:03Z INFO    API call: DELETE /api/resource/42 status=204
2025-04-24T07:20:27Z WARN    Suspicious URL: /admin?user=../../passwd
2025-04-24T07:20:50Z INFO    Cache hit: user_profile_heidi
2025-04-24T07:21:14Z INFO    User logout: heidi
2025-04-24T07:21:38Z INFO    User login succeeded: ivan
2025-04-24T07:22:02Z ERROR   Failed API call: GET /api/metrics status=403
2025-04-24T07:22:26Z WARN    Suspicious payload: {"name":"<script>evil()</script>"}
2025-04-24T07:22:49Z INFO    Database schema migration applied
2025-04-24T07:23:13Z INFO    File uploaded: config.yml
2025-04-24T07:23:37Z WARN    Failed login attempt: username=judy, error=Incorrect password
2025-04-24T07:24:01Z ERROR   Path traversal probe: GET /download?file=../../secret.key
2025-04-24T07:24:25Z INFO    Service stopped: analytics-service
2025-04-24T07:24:48Z INFO    User logout: ivan
2025-04-24T07:25:12Z INFO    User login succeeded: kim
2025-04-24T07:25:36Z INFO    Viewed page: /help
2025-04-24T07:26:00Z ERROR   SQL injection string detected: 1; DROP TABLE users
2025-04-24T07:26:24Z WARN    Suspicious query parameter: password=' OR ''='
2025-04-24T07:26:47Z INFO    API call: PUT /api/settings status=200
2025-04-24T07:27:11Z INFO    File downloaded: user_guide.docx
2025-04-24T07:27:35Z WARN    Failed login attempt: username=leo, error=Invalid password
2025-04-24T07:27:59Z INFO    Database replication started
2025-04-24T07:28:23Z INFO    User logout: kim
2025-04-24T07:28:47Z INFO    User login succeeded: mike
2025-04-24T07:29:11Z ERROR   XSS attempt in POST body: comment=<script>alert(1)</script>
2025-04-24T07:29:35Z INFO    Service health check passed: cache-service
2025-04-24T07:29:59Z WARN    Suspicious file upload: .htaccess with <?php
2025-04-24T07:30:23Z INFO    API call: GET /api/logs status=200
2025-04-24T07:30:47Z INFO    File uploaded: backup.tar.gz
2025-04-24T07:31:11Z WARN    Failed login attempt: username=nick, error=Account expired
2025-04-24T07:31:34Z INFO    User logout: mike
2025-04-24T07:31:58Z INFO    Scheduled job executed: cleanup-temp
2025-04-24T07:32:22Z ERROR   Path traversal test: GET /media?path=../../config.php
2025-04-24T07:32:46Z INFO    User login succeeded: olivia
2025-04-24T07:33:10Z INFO    Viewed page: /faq
2025-04-24T07:33:34Z ERROR   SQL error: syntax near "'; exec xp_cmdshell"
2025-04-24T07:33:58Z WARN    Suspicious header: User-Agent: <script>
2025-04-24T07:34:22Z INFO    User logout: olivia
